sample_idx,ts_ms,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz
141,1772696446275,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
142,1772696446285,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
143,1772696446295,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
144,1772696446306,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
145,1772696446316,-0.11279296875,0.0546875,-0.9619140625,-0.244140625,0.54931640625,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,1,1,0,0,0,0
146,1772696446326,-0.03369140625,0.0302734375,-0.9638671875,-1.220703125,1.0986328125,-9.3994140625,1,1,0,0.0164794921875,0.0054931640625,0.0714111328125,26.38,7,10,3,0,0,0
147,1772696446337,-0.03369140625,0.0302734375,-0.9638671875,-1.220703125,1.0986328125,-9.3994140625,1,1,0,0.0164794921875,0.0054931640625,0.0714111328125,26.38,7,10,3,0,0,0
148,1772696446347,-0.03369140625,0.0302734375,-0.9638671875,-1.220703125,1.0986328125,-9.3994140625,1,1,0,0.0164794921875,0.0054931640625,0.0714111328125,26.38,7,10,3,0,0,0
149,1772696446357,-0.03369140625,0.0302734375,-0.9638671875,-1.220703125,1.0986328125,-9.3994140625,1,1,0,0.0164794921875,0.0054931640625,0.0714111328125,26.38,7,10,3,0,0,0
150,1772696446368,-0.03369140625,0.0302734375,-0.9638671875,-1.220703125,1.0986328125,-9.3994140625,1,1,0,0.0164794921875,0.0054931640625,0.0714111328125,26.38,7,10,3,0,0,0
151,1772696446378,-0.03369140625,0.0302734375,-0.9638671875,-1.220703125,1.0986328125,-9.3994140625,1,1,0,0.0164794921875,0.0054931640625,0.0714111328125,26.38,7,10,3,0,0,0
